city,city_ascii,state_name,lat,lng
Fairwood,Fairwood,Washington,47.4467,-122.143
Bellwood,Bellwood,Illinois,41.8829,-87.8762
Concord,Concord,Missouri,38.5117,-90.3574
Five Forks,Five Forks,South Carolina,34.8069,-82.2271
Preakness,Preakness,New Jersey,40.9382,-74.2242
Lebanon,Lebanon,Oregon,44.5317,-122.9071
Anna,Anna,Texas,33.3472,-96.5508
Colonia,Colonia,New Jersey,40.5926,-74.3148
Clive,Clive,Iowa,41.6147,-93.798
Elizabeth City,Elizabeth City,North Carolina,36.2942,-76.236
Nederland,Nederland,Texas,29.9707,-94.0015
Kingsland,Kingsland,Georgia,30.8194,-81.7216
Shenandoah,Shenandoah,Louisiana,30.4019,-91.002
Berea,Berea,Ohio,41.3696,-81.8641
Ferguson,Ferguson,Missouri,38.749,-90.295
Arcata,Arcata,California,40.8615,-124.0758
Newton,Newton,Kansas,38.0368,-97.3449
Parole,Parole,Maryland,38.9863,-76.5518
Melville,Melville,New York,40.7824,-73.4088
Oxon Hill,Oxon Hill,Maryland,38.7884,-76.9727
Iselin,Iselin,New Jersey,40.5697,-74.3172
Brook Park,Brook Park,Ohio,41.4036,-81.8219
St. Marys,St. Marys,Georgia,30.7567,-81.5722
Alton,Alton,Texas,26.2884,-98.3098
Laurel,Laurel,Virginia,37.6375,-77.5062
Boerne,Boerne,Texas,29.7847,-98.7292
La Marque,La Marque,Texas,29.3683,-94.9941
Princeton,Princeton,Texas,33.1778,-96.5044
Arroyo Grande,Arroyo Grande,California,35.1241,-120.5845
Albert Lea,Albert Lea,Minnesota,43.6548,-93.3643
Cullman,Cullman,Alabama,34.1775,-86.8407
Johnstown,Johnstown,Pennsylvania,40.326,-78.9194
Dover,Dover,New Jersey,40.8859,-74.5597
New River,New River,Arizona,33.8835,-112.0858
Trenton,Trenton,Michigan,42.1394,-83.1929
Ocean Springs,Ocean Springs,Mississippi,30.4082,-88.7861
Winder,Winder,Georgia,33.9917,-83.7218
Tallmadge,Tallmadge,Ohio,41.1023,-81.4216
Fairmont,Fairmont,West Virginia,39.4768,-80.1491
North Babylon,North Babylon,New York,40.7314,-73.3248
Crowley,Crowley,Texas,32.5781,-97.3585
North Bay Shore,North Bay Shore,New York,40.7602,-73.2617
Franklin Park,Franklin Park,Illinois,41.9361,-87.8794
Newburyport,Newburyport,Massachusetts,42.8124,-70.8878
Redland,Redland,Maryland,39.1339,-77.1464
Maryland City,Maryland City,Maryland,39.1016,-76.8051
Lake Ronkonkoma,Lake Ronkonkoma,New York,40.8297,-73.1128
West Haven,West Haven,Utah,41.2083,-112.0541
Calverton,Calverton,Maryland,39.0578,-76.9488
Lenoir,Lenoir,North Carolina,35.9094,-81.5249
Panama City Beach,Panama City Beach,Florida,30.237,-85.8776
Pinecrest,Pinecrest,Florida,25.665,-80.3042
Palos Hills,Palos Hills,Illinois,41.6986,-87.8266
Phelan,Phelan,California,34.4398,-117.5248
Burlington,Burlington,Kentucky,39.0223,-84.7217
Amsterdam,Amsterdam,New York,42.942,-74.1906
Manchester,Manchester,Missouri,38.583,-90.5064
Centralia,Centralia,Washington,46.7223,-122.9696
Ocean Acres,Ocean Acres,New Jersey,39.743,-74.2805
Kingstowne,Kingstowne,Virginia,38.7625,-77.1444
North Massapequa,North Massapequa,New York,40.7031,-73.4678
Oconomowoc,Oconomowoc,Wisconsin,43.0996,-88.4948
Steubenville,Steubenville,Ohio,40.3653,-80.6519
Sycamore,Sycamore,Illinois,41.9957,-88.6821
Logansport,Logansport,Indiana,40.7472,-86.352
Colonial Heights,Colonial Heights,Virginia,37.265,-77.3969
Guayama,Guayama,Puerto Rico,17.9743,-66.1104
Schofield Barracks,Schofield Barracks,Hawaii,21.4936,-158.0617
Portsmouth,Portsmouth,Ohio,38.7538,-82.9445
Canby,Canby,Oregon,45.2652,-122.6867
Bourbonnais,Bourbonnais,Illinois,41.183,-87.8784
Menasha,Menasha,Wisconsin,44.2125,-88.4271
McAlester,McAlester,Oklahoma,34.9257,-95.7734
Shorewood,Shorewood,Illinois,41.5169,-88.2146
Niles,Niles,Ohio,41.1879,-80.7531
White Settlement,White Settlement,Texas,32.7554,-97.4605
Fort Carson,Fort Carson,Colorado,38.7095,-104.772
Hybla Valley,Hybla Valley,Virginia,38.7484,-77.0821
Cudahy,Cudahy,Wisconsin,42.9467,-87.8641
East Riverdale,East Riverdale,Maryland,38.96,-76.9109
Scarsdale,Scarsdale,New York,40.9902,-73.7773
Spanish Lake,Spanish Lake,Missouri,38.7884,-90.2077
Bryn Mawr-Skyway,Bryn Mawr-Skyway,Washington,47.4949,-122.241
Tillmans Corner,Tillmans Corner,Alabama,30.5819,-88.2128
Dumont,Dumont,New Jersey,40.9452,-73.9923
Nipomo,Nipomo,California,35.0319,-120.4985
Ashtabula,Ashtabula,Ohio,41.8805,-80.7984
Terrell,Terrell,Texas,32.734,-96.2931
Cameron Park,Cameron Park,California,38.6738,-120.9872
Wantagh,Wantagh,New York,40.6686,-73.5104
Mount Washington,Mount Washington,Kentucky,38.043,-85.5551
Sevierville,Sevierville,Tennessee,35.8872,-83.5678
Cohoes,Cohoes,New York,42.7732,-73.7077
Blythe,Blythe,California,33.6219,-114.6195
Burke Centre,Burke Centre,Virginia,38.7903,-77.2999
Ammon,Ammon,Idaho,43.4745,-111.9568
Alice,Alice,Texas,27.7556,-98.0653
Natchitoches,Natchitoches,Louisiana,31.7315,-93.0975
Franconia,Franconia,Virginia,38.7682,-77.1587
Glenvar Heights,Glenvar Heights,Florida,25.709,-80.3155
Mebane,Mebane,North Carolina,36.0852,-79.2736
Tiffin,Tiffin,Ohio,41.1165,-83.1805
Anoka,Anoka,Minnesota,45.2099,-93.3893
Cary,Cary,Illinois,42.2129,-88.2494
Steiner Ranch,Steiner Ranch,Texas,30.3654,-97.896
Gibsonton,Gibsonton,Florida,27.826,-82.3761
Selma,Selma,Alabama,32.4166,-87.0336
Bay City,Bay City,Texas,28.9838,-95.9601
Farmington,Farmington,Missouri,37.7822,-90.4282
Pataskala,Pataskala,Ohio,40.011,-82.7155
Brownsville,Brownsville,Florida,25.8216,-80.2417
Charleston,Charleston,Illinois,39.4842,-88.1781
Godfrey,Godfrey,Illinois,38.9577,-90.2156
Idylwood,Idylwood,Virginia,38.8896,-77.2056
North Canton,North Canton,Ohio,40.8742,-81.3971
Lake Butler,Lake Butler,Florida,28.4862,-81.546
Willimantic,Willimantic,Connecticut,41.7171,-72.2114
Troy,Troy,Alabama,31.8021,-85.9664
Cahokia Heights,Cahokia Heights,Illinois,38.571,-90.1525
North Aurora,North Aurora,Illinois,41.8086,-88.3414
McKeesport,McKeesport,Pennsylvania,40.3418,-79.844
Live Oak,Live Oak,California,36.986,-121.9804
Hope Mills,Hope Mills,North Carolina,34.971,-78.9597
Anacortes,Anacortes,Washington,48.4878,-122.6292
Brenham,Brenham,Texas,30.1584,-96.3966
Pinehurst,Pinehurst,North Carolina,35.1922,-79.4684
Mount Holly,Mount Holly,North Carolina,35.3136,-81.0073
Camano,Camano,Washington,48.1865,-122.4708
Gretna,Gretna,Louisiana,29.9101,-90.0515
Stuart,Stuart,Florida,27.1959,-80.2444
Jacksonville,Jacksonville,Illinois,39.7292,-90.2317
Siloam Springs,Siloam Springs,Arkansas,36.1844,-94.5315
Woodmere,Woodmere,New York,40.6375,-73.7219
Eastlake,Eastlake,Ohio,41.6581,-81.4322
El Dorado,El Dorado,Arkansas,33.2184,-92.664
Storrs,Storrs,Connecticut,41.8083,-72.2514
New Philadelphia,New Philadelphia,Ohio,40.486,-81.4401
Zephyrhills,Zephyrhills,Florida,28.2409,-82.1797
Cortland,Cortland,New York,42.6004,-76.1784
Wayne,Wayne,Michigan,42.2774,-83.3877
Lemont,Lemont,Illinois,41.6695,-87.9838
Clemson,Clemson,South Carolina,34.6837,-82.8124
